"BZ3 Nonlinear Vehicle Dynamics Simulation SR= 5.00 WB=1745 mm  WF=80   WR=120  "
"TIME, sec";"LATACC, g";"SIDSLP, deg";"SPEED, kph";"STEER, deg";                                                                                                                                                                                                                                                                                                                                                                    ;
1.200    ;0.203    ;-0.107   ;80.000   ;2.500     
1.210    ;0.205    ;-0.108   ;80.000   ;2.521     
1.220    ;0.207    ;-0.109   ;80.000   ;2.542     
1.230    ;0.209    ;-0.110   ;80.000   ;2.563     
1.240    ;0.211    ;-0.111   ;80.000   ;2.583     
1.250    ;0.213    ;-0.112   ;80.000   ;2.604     
1.260    ;0.215    ;-0.113   ;80.000   ;2.625     
1.270    ;0.217    ;-0.114   ;80.000   ;2.646     
1.280    ;0.218    ;-0.115   ;80.000   ;2.667     
1.290    ;0.220    ;-0.116   ;80.000   ;2.687     
1.300    ;0.222    ;-0.118   ;80.000   ;2.708     
1.310    ;0.224    ;-0.119   ;80.000   ;2.729     
1.320    ;0.226    ;-0.120   ;80.000   ;2.750     
1.330    ;0.228    ;-0.121   ;80.000   ;2.771     
1.340    ;0.230    ;-0.122   ;80.000   ;2.792     
1.350    ;0.232    ;-0.123   ;80.000   ;2.813     
1.360    ;0.234    ;-0.124   ;80.000   ;2.833     
1.370    ;0.236    ;-0.125   ;80.000   ;2.854     
1.380    ;0.237    ;-0.126   ;80.000   ;2.875     
1.390    ;0.239    ;-0.128   ;80.000   ;2.896     
1.400    ;0.241    ;-0.129   ;80.000   ;2.917     
1.410    ;0.243    ;-0.130   ;80.000   ;2.937     
1.420    ;0.245    ;-0.131   ;80.000   ;2.958     
1.430    ;0.247    ;-0.132   ;80.000   ;2.979     
1.440    ;0.249    ;-0.133   ;80.000   ;3.000     
1.450    ;0.251    ;-0.134   ;80.000   ;3.021     
1.460    ;0.253    ;-0.135   ;80.000   ;3.042     
1.470    ;0.255    ;-0.137   ;80.000   ;3.062     
1.480    ;0.257    ;-0.138   ;80.000   ;3.083     
1.490    ;0.259    ;-0.139   ;80.000   ;3.104     
1.500    ;0.261    ;-0.140   ;80.000   ;3.125     
1.510    ;0.262    ;-0.141   ;80.000   ;3.146     
1.520    ;0.264    ;-0.142   ;80.000   ;3.167     
1.530    ;0.266    ;-0.143   ;80.000   ;3.187     
1.540    ;0.268    ;-0.145   ;80.000   ;3.208     
1.550    ;0.270    ;-0.146   ;80.000   ;3.229     
1.560    ;0.272    ;-0.147   ;80.000   ;3.250     
1.570    ;0.274    ;-0.148   ;80.000   ;3.271     
1.580    ;0.276    ;-0.149   ;80.000   ;3.292     
1.590    ;0.278    ;-0.150   ;80.000   ;3.312     
1.600    ;0.280    ;-0.151   ;80.000   ;3.333     
1.610    ;0.282    ;-0.153   ;80.000   ;3.354     
1.620    ;0.284    ;-0.154   ;80.000   ;3.375     
1.630    ;0.286    ;-0.155   ;80.000   ;3.396     
1.640    ;0.288    ;-0.156   ;80.000   ;3.417     
1.650    ;0.290    ;-0.157   ;80.000   ;3.437     
1.660    ;0.292    ;-0.158   ;80.000   ;3.458     
1.670    ;0.294    ;-0.159   ;80.000   ;3.479     
1.680    ;0.296    ;-0.161   ;80.000   ;3.500     
1.690    ;0.298    ;-0.162   ;80.000   ;3.521     
1.700    ;0.300    ;-0.163   ;80.000   ;3.542     
1.710    ;0.301    ;-0.164   ;80.000   ;3.562     
1.720    ;0.303    ;-0.165   ;80.000   ;3.583     
1.730    ;0.305    ;-0.166   ;80.000   ;3.604     
1.740    ;0.307    ;-0.168   ;80.000   ;3.625     
1.750    ;0.309    ;-0.169   ;80.000   ;3.646     
1.760    ;0.311    ;-0.170   ;80.000   ;3.667     
1.770    ;0.313    ;-0.171   ;80.000   ;3.687     
1.780    ;0.315    ;-0.172   ;80.000   ;3.708     
1.790    ;0.317    ;-0.173   ;80.000   ;3.729     
1.800    ;0.319    ;-0.175   ;80.000   ;3.750     
1.810    ;0.321    ;-0.176   ;80.000   ;3.771     
1.820    ;0.323    ;-0.177   ;80.000   ;3.792     
1.830    ;0.325    ;-0.178   ;80.000   ;3.812     
1.840    ;0.327    ;-0.179   ;80.000   ;3.833     
1.850    ;0.329    ;-0.180   ;80.000   ;3.854     
1.860    ;0.331    ;-0.182   ;80.000   ;3.875     
1.870    ;0.333    ;-0.183   ;80.000   ;3.896     
1.880    ;0.335    ;-0.184   ;80.000   ;3.917     
1.890    ;0.337    ;-0.185   ;80.000   ;3.937     
1.900    ;0.339    ;-0.186   ;80.000   ;3.958     
1.910    ;0.341    ;-0.188   ;80.000   ;3.979     
1.920    ;0.343    ;-0.189   ;80.000   ;4.000     
1.930    ;0.345    ;-0.190   ;80.000   ;4.021     
1.940    ;0.347    ;-0.191   ;80.000   ;4.042     
1.950    ;0.349    ;-0.192   ;80.000   ;4.062     
1.960    ;0.351    ;-0.194   ;80.000   ;4.083     
1.970    ;0.353    ;-0.195   ;80.000   ;4.104     
1.980    ;0.355    ;-0.196   ;80.000   ;4.125     
1.990    ;0.357    ;-0.197   ;80.000   ;4.146     
2.000    ;0.359    ;-0.198   ;80.000   ;4.167     
2.010    ;0.361    ;-0.200   ;80.000   ;4.188     
2.020    ;0.363    ;-0.201   ;80.000   ;4.208     
2.030    ;0.365    ;-0.202   ;80.000   ;4.229     
2.040    ;0.367    ;-0.203   ;80.000   ;4.250     
2.050    ;0.369    ;-0.204   ;80.000   ;4.271     
2.060    ;0.371    ;-0.206   ;80.000   ;4.292     
2.070    ;0.373    ;-0.207   ;80.000   ;4.312     
