"BZ3 Nonlinear Vehicle Dynamics Simulation Constant Steer Ramp Speed Test  WB=2745 mm"
"TIME, sec";"SPEED, kph";"YAWVEL, deg/sec";                 ;
2.430    ;28.748   ;4.067     
2.440    ;28.784   ;4.072     
2.450    ;28.820   ;4.076     
2.460    ;28.856   ;4.081     
2.470    ;28.892   ;4.085     
2.480    ;28.928   ;4.090     
2.490    ;28.964   ;4.094     
2.500    ;29.000   ;4.099     
2.510    ;29.036   ;4.103     
2.520    ;29.072   ;4.108     
2.530    ;29.108   ;4.112     
2.540    ;29.144   ;4.117     
2.550    ;29.180   ;4.121     
2.560    ;29.216   ;4.126     
2.570    ;29.252   ;4.130     
2.580    ;29.288   ;4.135     
2.590    ;29.324   ;4.139     
2.600    ;29.360   ;4.144     
2.610    ;29.396   ;4.148     
2.620    ;29.432   ;4.153     
2.630    ;29.468   ;4.157     
2.640    ;29.504   ;4.162     
2.650    ;29.540   ;4.166     
2.660    ;29.576   ;4.171     
2.670    ;29.612   ;4.175     
2.680    ;29.648   ;4.180     
2.690    ;29.684   ;4.184     
2.700    ;29.720   ;4.189     
2.710    ;29.756   ;4.193     
2.720    ;29.792   ;4.198     
2.730    ;29.828   ;4.202     
2.740    ;29.864   ;4.206     
2.750    ;29.900   ;4.211     
2.760    ;29.936   ;4.215     
2.770    ;29.972   ;4.220     
2.780    ;30.008   ;4.224     
2.790    ;30.044   ;4.229     
2.800    ;30.080   ;4.233     
2.810    ;30.116   ;4.238     
2.820    ;30.152   ;4.242     
2.830    ;30.188   ;4.247     
2.840    ;30.224   ;4.251     
2.850    ;30.260   ;4.256     
2.860    ;30.296   ;4.260     
2.870    ;30.332   ;4.264     
2.880    ;30.368   ;4.269     
2.890    ;30.404   ;4.273     
2.900    ;30.440   ;4.278     
2.910    ;30.476   ;4.282     
2.920    ;30.512   ;4.287     
2.930    ;30.548   ;4.291     
2.940    ;30.584   ;4.296     
2.950    ;30.620   ;4.300     
2.960    ;30.656   ;4.304     
2.970    ;30.692   ;4.309     
2.980    ;30.728   ;4.313     
2.990    ;30.764   ;4.318     
3.000    ;30.800   ;4.322     
3.010    ;30.836   ;4.327     
3.020    ;30.872   ;4.331     
3.030    ;30.908   ;4.335     
3.040    ;30.944   ;4.340     
3.050    ;30.980   ;4.344     
3.060    ;31.016   ;4.349     
3.070    ;31.052   ;4.353     
3.080    ;31.088   ;4.357     
3.090    ;31.124   ;4.362     
3.100    ;31.160   ;4.366     
3.110    ;31.196   ;4.371     
3.120    ;31.232   ;4.375     
3.130    ;31.268   ;4.379     
3.140    ;31.304   ;4.384     
3.150    ;31.340   ;4.388     
3.160    ;31.376   ;4.393     
3.170    ;31.412   ;4.397     
3.180    ;31.448   ;4.401     
3.190    ;31.484   ;4.406     
3.200    ;31.520   ;4.410     
3.210    ;31.556   ;4.415     
3.220    ;31.592   ;4.419     
3.230    ;31.628   ;4.423     
3.240    ;31.664   ;4.428     
3.250    ;31.700   ;4.432     
3.260    ;31.736   ;4.437     
3.270    ;31.772   ;4.441     
3.280    ;31.808   ;4.445     
3.290    ;31.844   ;4.450     
3.300    ;31.880   ;4.454     
3.310    ;31.916   ;4.458     
3.320    ;31.952   ;4.463     
3.330    ;31.988   ;4.467     
3.340    ;32.024   ;4.472     
3.350    ;32.060   ;4.476     
3.360    ;32.096   ;4.480     
3.370    ;32.132   ;4.485     
